豆豆,#genre#
CCTV1,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV1HD_7000
CCTV2,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV2HD_7000
CCTV3,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1603
CCTV4,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1604
CCTV5,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1605
CCTV5+,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1403
CCTV6,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1606
CCTV7,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1607
CCTV8,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1608
CCTV9,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV9HD_7000
CCTV10,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1610
CCTV11,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV-11HD_7500
CCTV12,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1612
CCTV13,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1613
CCTV14,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV14HD_7000
CCTV15,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV-15HD_7500
CCTV16,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1617_4500
CCTV17,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV17HD
CCTV4K,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=4005
CCTV16-4K,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=4010
CGTN.576,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CCTV15news_1500
CETV-1 576,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CETV-1
CETV-4,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CETV-4
CHC高清电影,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CHCHD_7000
CHC家庭影院,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CHChometheatre_1500
CHC动作电影,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=CHCactionmovie_1500
广东卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=1401
深圳卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=shenzhenHD_7000
东方卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=dongfangHD_7000
北京卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=beijingHD_7000
湖南卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=hunanHD_7000
江西卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=jiangxiHD_7000
四川卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=sichuanHD_7000
江苏卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=jiangsuHD_7000
浙江卫视,http://103.45.68.47:666/gy/gy_ApK@uI/豆豆.php?id=zhejiangHD_7000
